characteristic, value, user_id, study_name, 
education,9,11553306,alexandersanchez.exemplars1,
gender,f,11553306,alexandersanchez.exemplars1,
state,il,11553306,alexandersanchez.exemplars1,
religion,none,11553306,alexandersanchez.exemplars1,
occupation,null,11553306,alexandersanchez.exemplars1,
relfamily,spiritual,11553306,alexandersanchez.exemplars1,
citizenship,us,11553306,alexandersanchez.exemplars1,
residence,us,11553306,alexandersanchez.exemplars1,
raceethnic,white,11553306,alexandersanchez.exemplars1,
politicalid,-1,11598840,alexandersanchez.exemplars1,
religionid,1,11598840,alexandersanchez.exemplars1,
birthyear,1973,11598840,alexandersanchez.exemplars1,
genoccupation,41-,11598840,alexandersanchez.exemplars1,
occupation,41-2000,11598840,alexandersanchez.exemplars1,
education,5,11598840,alexandersanchez.exemplars1,
birthmonth,8,11598840,alexandersanchez.exemplars1,
gender,f,11598840,alexandersanchez.exemplars1,
religion,none,11598840,alexandersanchez.exemplars1,
relfamily,othernone,11598840,alexandersanchez.exemplars1,
citizenship,uk,11598840,alexandersanchez.exemplars1,
residence,uk,11598840,alexandersanchez.exemplars1,
raceethnic,white,11598840,alexandersanchez.exemplars1,
genoccupation,11-,11598941,alexandersanchez.exemplars1,
occupation,Nov-00,11598941,alexandersanchez.exemplars1,
birthyear,1964,11598941,alexandersanchez.exemplars1,
politicalid,2,11598941,alexandersanchez.exemplars1,
religionid,3,11598941,alexandersanchez.exemplars1,
education,4,11598941,alexandersanchez.exemplars1,
birthmonth,5,11598941,alexandersanchez.exemplars1,
relfamily,churchofgod,11598941,alexandersanchez.exemplars1,
gender,f,11598941,alexandersanchez.exemplars1,
religion,protestant,11598941,alexandersanchez.exemplars1,
citizenship,uk,11598941,alexandersanchez.exemplars1,
residence,uk,11598941,alexandersanchez.exemplars1,
raceethnic,white,11598941,alexandersanchez.exemplars1,
reldenom,worldwidechurchofgod,11598941,alexandersanchez.exemplars1,
birthmonth,1,11600183,alexandersanchez.exemplars1,
birthyear,1999,11600183,alexandersanchez.exemplars1,
politicalid,2,11600183,alexandersanchez.exemplars1,
religionid,2,11600183,alexandersanchez.exemplars1,
genoccupation,27-,11600183,alexandersanchez.exemplars1,
occupation,27-2000,11600183,alexandersanchez.exemplars1,
education,5,11600183,alexandersanchez.exemplars1,
state,ca,11600183,alexandersanchez.exemplars1,
religion,catholic,11600183,alexandersanchez.exemplars1,
raceethnic,hispanic,11600183,alexandersanchez.exemplars1,
gender,m,11600183,alexandersanchez.exemplars1,
relfamily,romancatholic,11600183,alexandersanchez.exemplars1,
citizenship,us,11600183,alexandersanchez.exemplars1,
residence,us,11600183,alexandersanchez.exemplars1,
politicalid,-2,11603983,alexandersanchez.exemplars1,
birthyear,1991,11603983,alexandersanchez.exemplars1,
religionid,2,11603983,alexandersanchez.exemplars1,
occupation,29-2000,11603983,alexandersanchez.exemplars1,
genoccupation,2931,11603983,alexandersanchez.exemplars1,
birthmonth,4,11603983,alexandersanchez.exemplars1,
education,6,11603983,alexandersanchez.exemplars1,
religion,catholic,11603983,alexandersanchez.exemplars1,
state,co,11603983,alexandersanchez.exemplars1,
gender,m,11603983,alexandersanchez.exemplars1,
relfamily,romancatholic,11603983,alexandersanchez.exemplars1,
citizenship,us,11603983,alexandersanchez.exemplars1,
residence,us,11603983,alexandersanchez.exemplars1,
raceethnic,white,11603983,alexandersanchez.exemplars1,
politicalid,0,11605226,alexandersanchez.exemplars1,
religionid,1,11605226,alexandersanchez.exemplars1,
birthyear,1961,11605226,alexandersanchez.exemplars1,
genoccupation,27-,11605226,alexandersanchez.exemplars1,
occupation,27-3000,11605226,alexandersanchez.exemplars1,
birthmonth,9,11605226,alexandersanchez.exemplars1,
education,9,11605226,alexandersanchez.exemplars1,
state,ca,11605226,alexandersanchez.exemplars1,
gender,m,11605226,alexandersanchez.exemplars1,
religion,none,11605226,alexandersanchez.exemplars1,
relfamily,othernone,11605226,alexandersanchez.exemplars1,
citizenship,us,11605226,alexandersanchez.exemplars1,
residence,us,11605226,alexandersanchez.exemplars1,
raceethnic,white,11605226,alexandersanchez.exemplars1,
multi_middleeastern,1,11608619,alexandersanchez.exemplars1,
multi_white,1,11608619,alexandersanchez.exemplars1,
religionid,1,11608619,alexandersanchez.exemplars1,
birthmonth,10,11608619,alexandersanchez.exemplars1,
genoccupation,11-,11608619,alexandersanchez.exemplars1,
occupation,Nov-00,11608619,alexandersanchez.exemplars1,
birthyear,1984,11608619,alexandersanchez.exemplars1,
politicalid,2,11608619,alexandersanchez.exemplars1,
education,7,11608619,alexandersanchez.exemplars1,
religion,catholic,11608619,alexandersanchez.exemplars1,
gender,f,11608619,alexandersanchez.exemplars1,
raceethnic,multi,11608619,alexandersanchez.exemplars1,
multi_asian,null,11608619,alexandersanchez.exemplars1,
multi_black,null,11608619,alexandersanchez.exemplars1,
multi_hispanic,null,11608619,alexandersanchez.exemplars1,
multi_native,null,11608619,alexandersanchez.exemplars1,
multi_pacificislander,null,11608619,alexandersanchez.exemplars1,
state,ny,11608619,alexandersanchez.exemplars1,
relfamily,romancatholic,11608619,alexandersanchez.exemplars1,
citizenship,us,11608619,alexandersanchez.exemplars1,
residence,us,11608619,alexandersanchez.exemplars1,
birthmonth,11,11612525,alexandersanchez.exemplars1,
birthyear,1971,11612525,alexandersanchez.exemplars1,
religionid,2,11612525,alexandersanchez.exemplars1,
genoccupation,25-,11612525,alexandersanchez.exemplars1,
occupation,25-3000,11612525,alexandersanchez.exemplars1,
education,6,11612525,alexandersanchez.exemplars1,
raceethnic,black,11612525,alexandersanchez.exemplars1,
gender,f,11612525,alexandersanchez.exemplars1,
state,in,11612525,alexandersanchez.exemplars1,
reldenom,justchristian,11612525,alexandersanchez.exemplars1,
relfamily,nondenominational,11612525,alexandersanchez.exemplars1,
politicalid,null,11612525,alexandersanchez.exemplars1,
religion,protestant,11612525,alexandersanchez.exemplars1,
citizenship,us,11612525,alexandersanchez.exemplars1,
residence,us,11612525,alexandersanchez.exemplars1,
birthmonth,1,11614436,alexandersanchez.exemplars1,
politicalid,1,11614436,alexandersanchez.exemplars1,
religionid,1,11614436,alexandersanchez.exemplars1,
birthyear,2002,11614436,alexandersanchez.exemplars1,
education,4,11614436,alexandersanchez.exemplars1,
genoccupation,41-,11614436,alexandersanchez.exemplars1,
occupation,41-3000,11614436,alexandersanchez.exemplars1,
relfamily,agnostic,11614436,alexandersanchez.exemplars1,
raceethnic,black,11614436,alexandersanchez.exemplars1,
state,ga,11614436,alexandersanchez.exemplars1,
gender,m,11614436,alexandersanchez.exemplars1,
religion,none,11614436,alexandersanchez.exemplars1,
residence,sm,11614436,alexandersanchez.exemplars1,
citizenship,us,11614436,alexandersanchez.exemplars1,
politicalid,0,11619926,alexandersanchez.exemplars1,
multi_asian,1,11619926,alexandersanchez.exemplars1,
multi_hispanic,1,11619926,alexandersanchez.exemplars1,
multi_native,1,11619926,alexandersanchez.exemplars1,
religionid,1,11619926,alexandersanchez.exemplars1,
birthyear,1963,11619926,alexandersanchez.exemplars1,
genoccupation,43-,11619926,alexandersanchez.exemplars1,
occupation,43-7000,11619926,alexandersanchez.exemplars1,
education,5,11619926,alexandersanchez.exemplars1,
birthmonth,8,11619926,alexandersanchez.exemplars1,
state,ca,11619926,alexandersanchez.exemplars1,
gender,m,11619926,alexandersanchez.exemplars1,
raceethnic,multi,11619926,alexandersanchez.exemplars1,
religion,none,11619926,alexandersanchez.exemplars1,
multi_black,null,11619926,alexandersanchez.exemplars1,
multi_middleeastern,null,11619926,alexandersanchez.exemplars1,
multi_pacificislander,null,11619926,alexandersanchez.exemplars1,
multi_white,null,11619926,alexandersanchez.exemplars1,
residence,sm,11619926,alexandersanchez.exemplars1,
relfamily,spiritual,11619926,alexandersanchez.exemplars1,
citizenship,us,11619926,alexandersanchez.exemplars1,
politicalid,0,11622422,alexandersanchez.exemplars1,
birthmonth,1,11622422,alexandersanchez.exemplars1,
religionid,1,11622422,alexandersanchez.exemplars1,
birthyear,2001,11622422,alexandersanchez.exemplars1,
genoccupation,35-,11622422,alexandersanchez.exemplars1,
occupation,35-2000,11622422,alexandersanchez.exemplars1,
education,4,11622422,alexandersanchez.exemplars1,
citizenship,ca,11622422,alexandersanchez.exemplars1,
religion,catholic,11622422,alexandersanchez.exemplars1,
gender,f,11622422,alexandersanchez.exemplars1,
state,oh,11622422,alexandersanchez.exemplars1,
relfamily,othercatholic,11622422,alexandersanchez.exemplars1,
residence,us,11622422,alexandersanchez.exemplars1,
raceethnic,white,11622422,alexandersanchez.exemplars1,
religionid,2,11622453,alexandersanchez.exemplars1,
birthyear,2001,11622453,alexandersanchez.exemplars1,
politicalid,3,11622453,alexandersanchez.exemplars1,
genoccupation,41-,11622453,alexandersanchez.exemplars1,
occupation,41-2000,11622453,alexandersanchez.exemplars1,
education,5,11622453,alexandersanchez.exemplars1,
birthmonth,7,11622453,alexandersanchez.exemplars1,
citizenship,ca,11622453,alexandersanchez.exemplars1,
residence,ca,11622453,alexandersanchez.exemplars1,
religion,catholic,11622453,alexandersanchez.exemplars1,
gender,f,11622453,alexandersanchez.exemplars1,
state,on,11622453,alexandersanchez.exemplars1,
relfamily,romancatholic,11622453,alexandersanchez.exemplars1,
raceethnic,white,11622453,alexandersanchez.exemplars1,
politicalid,1,11628697,alexandersanchez.exemplars1,
religionid,2,11628697,alexandersanchez.exemplars1,
birthyear,2001,11628697,alexandersanchez.exemplars1,
birthmonth,3,11628697,alexandersanchez.exemplars1,
education,4,11628697,alexandersanchez.exemplars1,
genoccupation,41-,11628697,alexandersanchez.exemplars1,
occupation,41-2000,11628697,alexandersanchez.exemplars1,
citizenship,ca,11628697,alexandersanchez.exemplars1,
residence,ca,11628697,alexandersanchez.exemplars1,
religion,catholic,11628697,alexandersanchez.exemplars1,
gender,m,11628697,alexandersanchez.exemplars1,
state,ns,11628697,alexandersanchez.exemplars1,
relfamily,null,11628697,alexandersanchez.exemplars1,
raceethnic,white,11628697,alexandersanchez.exemplars1,
education,2,11631668,alexandersanchez.exemplars1,
politicalid,2,11631668,alexandersanchez.exemplars1,
religionid,2,11631668,alexandersanchez.exemplars1,
birthyear,2004,11631668,alexandersanchez.exemplars1,
genoccupation,35-,11631668,alexandersanchez.exemplars1,
occupation,35-3000,11631668,alexandersanchez.exemplars1,
birthmonth,5,11631668,alexandersanchez.exemplars1,
gender,f,11631668,alexandersanchez.exemplars1,
reldenom,justchristian,11631668,alexandersanchez.exemplars1,
relfamily,nondenominational,11631668,alexandersanchez.exemplars1,
religion,protestant,11631668,alexandersanchez.exemplars1,
residence,sm,11631668,alexandersanchez.exemplars1,
citizenship,us,11631668,alexandersanchez.exemplars1,
state,vt,11631668,alexandersanchez.exemplars1,
raceethnic,white,11631668,alexandersanchez.exemplars1,
politicalid,-1,11632978,alexandersanchez.exemplars1,
birthyear,1993,11632978,alexandersanchez.exemplars1,
religionid,2,11632978,alexandersanchez.exemplars1,
education,7,11632978,alexandersanchez.exemplars1,
birthmonth,9,11632978,alexandersanchez.exemplars1,
genoccupation,9998,11632978,alexandersanchez.exemplars1,
reldenom,evangelicallutheran,11632978,alexandersanchez.exemplars1,
gender,f,11632978,alexandersanchez.exemplars1,
state,ky,11632978,alexandersanchez.exemplars1,
relfamily,lutheran,11632978,alexandersanchez.exemplars1,
raceethnic,native,11632978,alexandersanchez.exemplars1,
religion,protestant,11632978,alexandersanchez.exemplars1,
residence,sm,11632978,alexandersanchez.exemplars1,
citizenship,us,11632978,alexandersanchez.exemplars1,
genoccupation,00-,11633711,alexandersanchez.exemplars1,
occupation,00-0000,11633711,alexandersanchez.exemplars1,
politicalid,1,11633711,alexandersanchez.exemplars1,
birthyear,1981,11633711,alexandersanchez.exemplars1,
religionid,3,11633711,alexandersanchez.exemplars1,
education,8,11633711,alexandersanchez.exemplars1,
birthmonth,9,11633711,alexandersanchez.exemplars1,
gender,f,11633711,alexandersanchez.exemplars1,
relfamily,methodist,11633711,alexandersanchez.exemplars1,
religion,protestant,11633711,alexandersanchez.exemplars1,
reldenom,unitedmethodist,11633711,alexandersanchez.exemplars1,
citizenship,us,11633711,alexandersanchez.exemplars1,
residence,us,11633711,alexandersanchez.exemplars1,
state,va,11633711,alexandersanchez.exemplars1,
raceethnic,white,11633711,alexandersanchez.exemplars1,
birthyear,1965,11633861,alexandersanchez.exemplars1,
genoccupation,2931,11633861,alexandersanchez.exemplars1,
occupation,31-9000,11633861,alexandersanchez.exemplars1,
birthmonth,7,11633861,alexandersanchez.exemplars1,
education,9,11633861,alexandersanchez.exemplars1,
raceethnic,black,11633861,alexandersanchez.exemplars1,
religion,catholic,11633861,alexandersanchez.exemplars1,
gender,null,11633861,alexandersanchez.exemplars1,
politicalid,null,11633861,alexandersanchez.exemplars1,
relfamily,null,11633861,alexandersanchez.exemplars1,
religionid,null,11633861,alexandersanchez.exemplars1,
state,tn,11633861,alexandersanchez.exemplars1,
citizenship,us,11633861,alexandersanchez.exemplars1,
residence,us,11633861,alexandersanchez.exemplars1,
birthyear,1978,11633903,alexandersanchez.exemplars1,
genoccupation,2931,11633903,alexandersanchez.exemplars1,
religionid,3,11633903,alexandersanchez.exemplars1,
education,7,11633903,alexandersanchez.exemplars1,
raceethnic,black,11633903,alexandersanchez.exemplars1,
religion,catholic,11633903,alexandersanchez.exemplars1,
gender,f,11633903,alexandersanchez.exemplars1,
residence,ng,11633903,alexandersanchez.exemplars1,
birthmonth,null,11633903,alexandersanchez.exemplars1,
occupation,null,11633903,alexandersanchez.exemplars1,
politicalid,null,11633903,alexandersanchez.exemplars1,
relfamily,romancatholic,11633903,alexandersanchez.exemplars1,
citizenship,us,11633903,alexandersanchez.exemplars1,
religionid,1,11634688,alexandersanchez.exemplars1,
birthmonth,12,11634688,alexandersanchez.exemplars1,
birthyear,1981,11634688,alexandersanchez.exemplars1,
politicalid,2,11634688,alexandersanchez.exemplars1,
genoccupation,53-,11634688,alexandersanchez.exemplars1,
occupation,53-6000,11634688,alexandersanchez.exemplars1,
education,7,11634688,alexandersanchez.exemplars1,
relfamily,agnostic,11634688,alexandersanchez.exemplars1,
gender,m,11634688,alexandersanchez.exemplars1,
religion,none,11634688,alexandersanchez.exemplars1,
citizenship,us,11634688,alexandersanchez.exemplars1,
residence,us,11634688,alexandersanchez.exemplars1,
state,wa,11634688,alexandersanchez.exemplars1,
raceethnic,white,11634688,alexandersanchez.exemplars1,
politicalid,-2,11635990,alexandersanchez.exemplars1,
birthyear,2004,11635990,alexandersanchez.exemplars1,
education,3,11635990,alexandersanchez.exemplars1,
religionid,3,11635990,alexandersanchez.exemplars1,
genoccupation,45-,11635990,alexandersanchez.exemplars1,
occupation,45-2000,11635990,alexandersanchez.exemplars1,
birthmonth,5,11635990,alexandersanchez.exemplars1,
gender,f,11635990,alexandersanchez.exemplars1,
reldenom,justchristian,11635990,alexandersanchez.exemplars1,
state,ne,11635990,alexandersanchez.exemplars1,
relfamily,nondenominational,11635990,alexandersanchez.exemplars1,
religion,protestant,11635990,alexandersanchez.exemplars1,
citizenship,us,11635990,alexandersanchez.exemplars1,
residence,us,11635990,alexandersanchez.exemplars1,
raceethnic,white,11635990,alexandersanchez.exemplars1,
birthyear,1989,11636280,alexandersanchez.exemplars1,
politicalid,2,11636280,alexandersanchez.exemplars1,
religionid,2,11636280,alexandersanchez.exemplars1,
genoccupation,25-,11636280,alexandersanchez.exemplars1,
occupation,25-9000,11636280,alexandersanchez.exemplars1,
birthmonth,4,11636280,alexandersanchez.exemplars1,
education,9,11636280,alexandersanchez.exemplars1,
religion,catholic,11636280,alexandersanchez.exemplars1,
gender,f,11636280,alexandersanchez.exemplars1,
state,in,11636280,alexandersanchez.exemplars1,
reldenom,null,11636280,alexandersanchez.exemplars1,
relfamily,romancatholic,11636280,alexandersanchez.exemplars1,
citizenship,us,11636280,alexandersanchez.exemplars1,
residence,us,11636280,alexandersanchez.exemplars1,
raceethnic,white,11636280,alexandersanchez.exemplars1,
genoccupation,13-,11636449,alexandersanchez.exemplars1,
occupation,13-1000,11636449,alexandersanchez.exemplars1,
birthyear,1995,11636449,alexandersanchez.exemplars1,
politicalid,2,11636449,alexandersanchez.exemplars1,
religionid,3,11636449,alexandersanchez.exemplars1,
education,4,11636449,alexandersanchez.exemplars1,
birthmonth,7,11636449,alexandersanchez.exemplars1,
citizenship,br,11636449,alexandersanchez.exemplars1,
residence,br,11636449,alexandersanchez.exemplars1,
relfamily,congregationalist,11636449,alexandersanchez.exemplars1,
gender,f,11636449,alexandersanchez.exemplars1,
raceethnic,middleeastern,11636449,alexandersanchez.exemplars1,
religion,protestant,11636449,alexandersanchez.exemplars1,
birthmonth,10,11636814,alexandersanchez.exemplars1,
politicalid,2,11636814,alexandersanchez.exemplars1,
religionid,2,11636814,alexandersanchez.exemplars1,
birthyear,2002,11636814,alexandersanchez.exemplars1,
genoccupation,25-,11636814,alexandersanchez.exemplars1,
occupation,25-9999,11636814,alexandersanchez.exemplars1,
education,4,11636814,alexandersanchez.exemplars1,
raceethnic,black,11636814,alexandersanchez.exemplars1,
religion,catholic,11636814,alexandersanchez.exemplars1,
gender,f,11636814,alexandersanchez.exemplars1,
state,nj,11636814,alexandersanchez.exemplars1,
relfamily,null,11636814,alexandersanchez.exemplars1,
citizenship,us,11636814,alexandersanchez.exemplars1,
residence,us,11636814,alexandersanchez.exemplars1,
politicalid,0,11636978,alexandersanchez.exemplars1,
religionid,1,11636978,alexandersanchez.exemplars1,
genoccupation,17-,11636978,alexandersanchez.exemplars1,
occupation,17-3000,11636978,alexandersanchez.exemplars1,
birthyear,1988,11636978,alexandersanchez.exemplars1,
birthmonth,2,11636978,alexandersanchez.exemplars1,
education,6,11636978,alexandersanchez.exemplars1,
gender,m,11636978,alexandersanchez.exemplars1,
religion,null,11636978,alexandersanchez.exemplars1,
state,tx,11636978,alexandersanchez.exemplars1,
citizenship,us,11636978,alexandersanchez.exemplars1,
residence,us,11636978,alexandersanchez.exemplars1,
raceethnic,white,11636978,alexandersanchez.exemplars1,
politicalid,-1,11637228,alexandersanchez.exemplars1,
genoccupation,00-,11637228,alexandersanchez.exemplars1,
occupation,00-0000,11637228,alexandersanchez.exemplars1,
birthmonth,1,11637228,alexandersanchez.exemplars1,
religionid,2,11637228,alexandersanchez.exemplars1,
birthyear,2003,11637228,alexandersanchez.exemplars1,
education,3,11637228,alexandersanchez.exemplars1,
state,ca,11637228,alexandersanchez.exemplars1,
gender,f,11637228,alexandersanchez.exemplars1,
raceethnic,hispanic,11637228,alexandersanchez.exemplars1,
religion,none,11637228,alexandersanchez.exemplars1,
relfamily,null,11637228,alexandersanchez.exemplars1,
citizenship,us,11637228,alexandersanchez.exemplars1,
residence,us,11637228,alexandersanchez.exemplars1,
politicalid,0,11637259,alexandersanchez.exemplars1,
birthyear,2002,11637259,alexandersanchez.exemplars1,
