task_number, question_number, questionnaire_name, question_name, question_response, attempt, study_name, session_id
4,36,pretest,sheen_rrt,3194,1,alexandersanchez.exemplars1,14044754
4,36,pretest,sheen_r,42,1,alexandersanchez.exemplars1,14044754
4,37,pretest,murphy1rt,3468,1,alexandersanchez.exemplars1,14044754
4,37,pretest,murphy1,1,1,alexandersanchez.exemplars1,14044754
4,38,pretest,murphy_rrt,11344,1,alexandersanchez.exemplars1,14044754
4,38,pretest,murphy_r,64,1,alexandersanchez.exemplars1,14044754
4,39,pretest,rock1rt,3259,1,alexandersanchez.exemplars1,14044754
4,39,pretest,rock1,1,1,alexandersanchez.exemplars1,14044754
4,40,pretest,rock_rrt,4010,1,alexandersanchez.exemplars1,14044754
4,40,pretest,rock_r,60,1,alexandersanchez.exemplars1,14044754
4,41,pretest,epstein1rt,4977,1,alexandersanchez.exemplars1,14044754
4,41,pretest,epstein1,1,1,alexandersanchez.exemplars1,14044754
4,42,pretest,epstein_rrt,4863,1,alexandersanchez.exemplars1,14044754
4,42,pretest,epstein_r,-2,1,alexandersanchez.exemplars1,14044754
4,43,pretest,powell1rt,4421,1,alexandersanchez.exemplars1,14044754
4,43,pretest,powell1,1,1,alexandersanchez.exemplars1,14044754
4,44,pretest,powell_rrt,4923,1,alexandersanchez.exemplars1,14044754
4,44,pretest,powell_r,-2,1,alexandersanchez.exemplars1,14044754
4,45,pretest,kaczynski1rt,4706,1,alexandersanchez.exemplars1,14044754
4,45,pretest,kaczynski1,2,1,alexandersanchez.exemplars1,14044754
4,46,pretest,capone1rt,5922,1,alexandersanchez.exemplars1,14044754
4,46,pretest,capone1,2,1,alexandersanchez.exemplars1,14044754
4,47,pretest,nichols1rt,6078,1,alexandersanchez.exemplars1,14044754
4,47,pretest,nichols1,2,1,alexandersanchez.exemplars1,14044754
4,48,pretest,ali1,1,1,alexandersanchez.exemplars1,14044754
4,48,pretest,ali1rt,3746,1,alexandersanchez.exemplars1,14044754
4,49,pretest,ali_rrt,4930,1,alexandersanchez.exemplars1,14044754
4,49,pretest,ali_r,10,1,alexandersanchez.exemplars1,14044754
4,50,pretest,madoff1rt,5132,1,alexandersanchez.exemplars1,14044754
4,50,pretest,madoff1,2,1,alexandersanchez.exemplars1,14044754
4,51,pretest,shkreli1rt,5785,1,alexandersanchez.exemplars1,14044754
4,51,pretest,shkreli1,2,1,alexandersanchez.exemplars1,14044754
4,52,pretest,bryant1rt,3808,1,alexandersanchez.exemplars1,14044754
4,52,pretest,bryant1,1,1,alexandersanchez.exemplars1,14044754
4,53,pretest,bryant_rrt,13261,1,alexandersanchez.exemplars1,14044754
4,53,pretest,bryant_r,12,1,alexandersanchez.exemplars1,14044754
4,54,pretest,jackson1rt,6061,1,alexandersanchez.exemplars1,14044754
4,54,pretest,jackson1,1,1,alexandersanchez.exemplars1,14044754
4,55,pretest,jackson_rrt,3696,1,alexandersanchez.exemplars1,14044754
4,55,pretest,jackson_r,1,1,alexandersanchez.exemplars1,14044754
4,56,pretest,samuel1rt,5126,1,alexandersanchez.exemplars1,14044754
4,56,pretest,samuel1,1,1,alexandersanchez.exemplars1,14044754
4,57,pretest,samuel_rrt,6788,1,alexandersanchez.exemplars1,14044754
4,57,pretest,samuel_r,46,1,alexandersanchez.exemplars1,14044754
4,58,pretest,mlk1rt,3737,1,alexandersanchez.exemplars1,14044754
4,58,pretest,mlk1,1,1,alexandersanchez.exemplars1,14044754
4,59,pretest,mlk_rrt,4602,1,alexandersanchez.exemplars1,14044754
4,59,pretest,mlk_r,65,1,alexandersanchez.exemplars1,14044754
4,60,pretest,bundy1rt,6082,1,alexandersanchez.exemplars1,14044754
4,60,pretest,bundy1,2,1,alexandersanchez.exemplars1,14044754
4,61,pretest,wonder1rt,3766,1,alexandersanchez.exemplars1,14044754
4,61,pretest,wonder1,1,1,alexandersanchez.exemplars1,14044754
4,62,pretest,wonder_rrt,3858,1,alexandersanchez.exemplars1,14044754
4,62,pretest,wonder_r,57,1,alexandersanchez.exemplars1,14044754
4,63,pretest,cosby1rt,3646,1,alexandersanchez.exemplars1,14044754
4,63,pretest,cosby1,1,1,alexandersanchez.exemplars1,14044754
4,64,pretest,cosby_rrt,4288,1,alexandersanchez.exemplars1,14044754
4,64,pretest,cosby_r,60,1,alexandersanchez.exemplars1,14044754
4,65,pretest,manson1rt,19661,1,alexandersanchez.exemplars1,14044754
4,65,pretest,manson1,2,1,alexandersanchez.exemplars1,14044754
7,66,exp,thermoWhitert,21568,1,alexandersanchez.exemplars1,14044754
7,66,exp,thermoWhite,71,1,alexandersanchez.exemplars1,14044754
7,67,exp,thermoBlackrt,6979,1,alexandersanchez.exemplars1,14044754
7,67,exp,thermoBlack,72,1,alexandersanchez.exemplars1,14044754
12,1000,race_iat,block3Cond,"Black Names/Unpleasant Words,White Names/Pleasant Words",1,alexandersanchez.exemplars1,14044754
12,1001,race_iat,feedback,Your responses suggested a moderate automatic association of Pleasant Words with White Names and Unpleasant Words with Black Names.,1,alexandersanchez.exemplars1,14044754
12,1002,race_iat,d,-0.43,1,alexandersanchez.exemplars1,14044754
1,0,consent,userconsent,TRUE,1,alexandersanchez.exemplars1,14044763
1,0,consent,userconsentrt,8968,1,alexandersanchez.exemplars1,14044763
2,1,realstart,commit,I will complete this study with my full attention,1,alexandersanchez.exemplars1,14044763
2,1,realstart,commitrt,32189,1,alexandersanchez.exemplars1,14044763
4,2,pretest,stern1rt,41190,1,alexandersanchez.exemplars1,14044763
4,2,pretest,stern1,1,1,alexandersanchez.exemplars1,14044763
4,3,pretest,stern_rrt,9098,1,alexandersanchez.exemplars1,14044763
4,3,pretest,stern_r,-11,1,alexandersanchez.exemplars1,14044763
4,4,pretest,capone1rt,5307,1,alexandersanchez.exemplars1,14044763
4,4,pretest,capone1,1,1,alexandersanchez.exemplars1,14044763
4,5,pretest,capone_r,3,1,alexandersanchez.exemplars1,14044763
4,5,pretest,capone_rrt,7548,1,alexandersanchez.exemplars1,14044763
4,6,pretest,mcveigh1,2,1,alexandersanchez.exemplars1,14044763
4,6,pretest,mcveigh1rt,4340,1,alexandersanchez.exemplars1,14044763
4,7,pretest,perry1rt,5115,1,alexandersanchez.exemplars1,14044763
4,7,pretest,perry1,1,1,alexandersanchez.exemplars1,14044763
4,8,pretest,perry_rrt,3771,1,alexandersanchez.exemplars1,14044763
4,8,pretest,perry_r,98,1,alexandersanchez.exemplars1,14044763
4,9,pretest,hines1,2,1,alexandersanchez.exemplars1,14044763
4,9,pretest,hines1rt,5368,1,alexandersanchez.exemplars1,14044763
4,10,pretest,mj1rt,2632,1,alexandersanchez.exemplars1,14044763
4,10,pretest,mj1,1,1,alexandersanchez.exemplars1,14044763
4,11,pretest,mj_rrt,3040,1,alexandersanchez.exemplars1,14044763
4,11,pretest,mj_r,99,1,alexandersanchez.exemplars1,14044763
4,12,pretest,samuel1rt,2673,1,alexandersanchez.exemplars1,14044763
4,12,pretest,samuel1,1,1,alexandersanchez.exemplars1,14044763
4,13,pretest,samuel_rrt,2954,1,alexandersanchez.exemplars1,14044763
4,13,pretest,samuel_r,99,1,alexandersanchez.exemplars1,14044763
4,14,pretest,nichols1rt,46324,1,alexandersanchez.exemplars1,14044763
4,14,pretest,nichols1,1,1,alexandersanchez.exemplars1,14044763
4,15,pretest,nichols_r,-99,1,alexandersanchez.exemplars1,14044763
4,15,pretest,nichols_rrt,4789,1,alexandersanchez.exemplars1,14044763
4,16,pretest,bezos1rt,4280,1,alexandersanchez.exemplars1,14044763
4,16,pretest,bezos1,1,1,alexandersanchez.exemplars1,14044763
4,17,pretest,bezos_r,-93,1,alexandersanchez.exemplars1,14044763
4,17,pretest,bezos_rrt,18417,1,alexandersanchez.exemplars1,14044763
4,18,pretest,shkreli1,2,1,alexandersanchez.exemplars1,14044763
4,18,pretest,shkreli1rt,6227,1,alexandersanchez.exemplars1,14044763
4,19,pretest,powell1,2,1,alexandersanchez.exemplars1,14044763
4,19,pretest,powell1rt,2488,1,alexandersanchez.exemplars1,14044763
4,20,pretest,lauer1rt,2763,1,alexandersanchez.exemplars1,14044763
4,20,pretest,lauer1,2,1,alexandersanchez.exemplars1,14044763
4,21,pretest,harvey1rt,2363,1,alexandersanchez.exemplars1,14044763
4,21,pretest,harvey1,1,1,alexandersanchez.exemplars1,14044763
4,22,pretest,harvey_r,98,1,alexandersanchez.exemplars1,14044763
4,22,pretest,harvey_rrt,3504,1,alexandersanchez.exemplars1,14044763
4,23,pretest,wonder1,1,1,alexandersanchez.exemplars1,14044763
4,23,pretest,wonder1rt,2666,1,alexandersanchez.exemplars1,14044763
4,24,pretest,wonder_rrt,3406,1,alexandersanchez.exemplars1,14044763
4,24,pretest,wonder_r,99,1,alexandersanchez.exemplars1,14044763
4,25,pretest,freeman1rt,2510,1,alexandersanchez.exemplars1,14044763
4,25,pretest,freeman1,1,1,alexandersanchez.exemplars1,14044763
4,26,pretest,freeman_rrt,2295,1,alexandersanchez.exemplars1,14044763
4,26,pretest,freeman_r,99,1,alexandersanchez.exemplars1,14044763
4,27,pretest,weinstein1rt,3362,1,alexandersanchez.exemplars1,14044763
4,27,pretest,weinstein1,1,1,alexandersanchez.exemplars1,14044763
4,28,pretest,weinstein_rrt,4794,1,alexandersanchez.exemplars1,14044763
4,28,pretest,weinstein_r,-99,1,alexandersanchez.exemplars1,14044763
4,29,pretest,jackson1rt,24634,1,alexandersanchez.exemplars1,14044763
4,29,pretest,jackson1,2,1,alexandersanchez.exemplars1,14044763
4,30,pretest,ali1rt,1846,1,alexandersanchez.exemplars1,14044763
4,30,pretest,ali1,1,1,alexandersanchez.exemplars1,14044763
4,31,pretest,ali_rrt,4449,1,alexandersanchez.exemplars1,14044763
4,31,pretest,ali_r,99,1,alexandersanchez.exemplars1,14044763
4,32,pretest,mlk1rt,2034,1,alexandersanchez.exemplars1,14044763
4,32,pretest,mlk1,1,1,alexandersanchez.exemplars1,14044763
4,33,pretest,mlk_rrt,3158,1,alexandersanchez.exemplars1,14044763
4,33,pretest,mlk_r,99,1,alexandersanchez.exemplars1,14044763
4,34,pretest,kaczynski1rt,4391,1,alexandersanchez.exemplars1,14044763
4,34,pretest,kaczynski1,2,1,alexandersanchez.exemplars1,14044763
4,35,pretest,madoff1rt,2929,1,alexandersanchez.exemplars1,14044763
4,35,pretest,madoff1,2,1,alexandersanchez.exemplars1,14044763
4,36,pretest,bundy1rt,1842,1,alexandersanchez.exemplars1,14044763
4,36,pretest,bundy1,1,1,alexandersanchez.exemplars1,14044763
4,37,pretest,bundy_rrt,24975,1,alexandersanchez.exemplars1,14044763
4,37,pretest,bundy_r,-98,1,alexandersanchez.exemplars1,14044763
4,38,pretest,foxx1rt,2882,1,alexandersanchez.exemplars1,14044763
4,38,pretest,foxx1,1,1,alexandersanchez.exemplars1,14044763
4,39,pretest,foxx_rrt,2866,1,alexandersanchez.exemplars1,14044763
4,39,pretest,foxx_r,98,1,alexandersanchez.exemplars1,14044763
4,40,pretest,smith1rt,2970,1,alexandersanchez.exemplars1,14044763
4,40,pretest,smith1,1,1,alexandersanchez.exemplars1,14044763
4,41,pretest,smith_r,99,1,alexandersanchez.exemplars1,14044763
4,41,pretest,smith_rrt,3155,1,alexandersanchez.exemplars1,14044763
4,42,pretest,sheen1rt,2468,1,alexandersanchez.exemplars1,14044763
4,42,pretest,sheen1,1,1,alexandersanchez.exemplars1,14044763
4,43,pretest,sheen_rrt,4521,1,alexandersanchez.exemplars1,14044763
4,43,pretest,sheen_r,4,1,alexandersanchez.exemplars1,14044763
4,44,pretest,woods1rt,2701,1,alexandersanchez.exemplars1,14044763
4,44,pretest,woods1,1,1,alexandersanchez.exemplars1,14044763
4,45,pretest,woods_rrt,4341,1,alexandersanchez.exemplars1,14044763
4,45,pretest,woods_r,0,1,alexandersanchez.exemplars1,14044763
4,46,pretest,rock1rt,2367,1,alexandersanchez.exemplars1,14044763
4,46,pretest,rock1,1,1,alexandersanchez.exemplars1,14044763
4,47,pretest,rock_rrt,2795,1,alexandersanchez.exemplars1,14044763
4,47,pretest,rock_r,99,1,alexandersanchez.exemplars1,14044763
4,48,pretest,baldwin1rt,27392,1,alexandersanchez.exemplars1,14044763
4,48,pretest,baldwin1,2,1,alexandersanchez.exemplars1,14044763
4,49,pretest,denzel1rt,3392,1,alexandersanchez.exemplars1,14044763
4,49,pretest,denzel1,1,1,alexandersanchez.exemplars1,14044763
4,50,pretest,denzel_rrt,2381,1,alexandersanchez.exemplars1,14044763
4,50,pretest,denzel_r,-1,1,alexandersanchez.exemplars1,14044763
